well_id,timestamp,depth_md,depth_tvd,rop,wob,rpm,torque,mud_weight,ecd,mse,d_xc,rop_roll_mean_5,rop_roll_std_5,torque_roll_mean_5,torque_roll_std_5,mud_weight_roll_mean_5,mud_weight_roll_std_5,hazard_upcoming,hazard_type
OIL-KOTHALONI-1,2024-01-01 00:03:00,2900,2880,20.5,15.7,81,22800.0,1.17,1.23,521.49,8.222,21.7,1.032795558988645,22050.0,645.4972243679028,1.17,0.0,0,Normal
OIL-KOTHALONI-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221,21.3,1.264911064067353,22300.0,790.5694150420949,1.17,0.0,0,Normal
OIL-MORAN-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239,22.9,0.0,21300.0,0.0,1.17,0.0,0,Normal
OIL-MORAN-1,2024-01-01 00:01:00,2880,2860,22.1,15.5,83,21800.0,1.17,1.21,473.96,8.231,22.5,0.565685424949236,21550.0,353.5533905932738,1.17,0.0,0,Normal
OIL-MORAN-1,2024-01-01 00:02:00,2890,2870,21.3,15.6,82,22300.0,1.17,1.22,496.97,8.225,22.099999999999998,0.7999999999999994,21800.0,500.0,1.17,0.0,0,Normal
OIL-MORAN-1,2024-01-01 00:03:00,2900,2880,20.5,15.7,81,22800.0,1.17,1.23,521.49,8.222,21.7,1.032795558988645,22050.0,645.4972243679028,1.17,0.0,0,Normal
OIL-MORAN-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221,21.3,1.264911064067353,22300.0,790.5694150420949,1.17,0.0,0,Normal
OIL-NAHARKATIYA-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239,22.9,0.0,21300.0,0.0,1.17,0.0,0,Normal
OIL-NAHARKATIYA-1,2024-01-01 00:01:00,2880,2860,22.1,15.5,83,21800.0,1.17,1.21,473.96,8.231,22.5,0.565685424949236,21550.0,353.5533905932738,1.17,0.0,0,Normal
OIL-NAHARKATIYA-1,2024-01-01 00:02:00,2890,2870,21.3,15.6,82,22300.0,1.17,1.22,496.97,8.225,22.099999999999998,0.7999999999999994,21800.0,500.0,1.17,0.0,1,Mud Loss
OIL-NAHARKATIYA-1,2024-01-01 00:03:00,2900,2880,20.5,15.7,81,22800.0,1.17,1.23,521.49,8.222,21.7,1.032795558988645,22050.0,645.4972243679028,1.17,0.0,1,Mud Loss
OIL-NAHARKATIYA-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221,21.3,1.264911064067353,22300.0,790.5694150420949,1.17,0.0,1,Mud Loss
OIL-SHALMARI-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239,22.9,0.0,21300.0,0.0,1.17,0.0,0,Normal
OIL-SHALMARI-1,2024-01-01 00:01:00,2880,2860,22.1,15.5,83,21800.0,1.17,1.21,473.96,8.231,22.5,0.565685424949236,21550.0,353.5533905932738,1.17,0.0,0,Normal
OIL-SHALMARI-1,2024-01-01 00:02:00,2890,2870,21.3,15.6,82,22300.0,1.17,1.22,496.97,8.225,22.099999999999998,0.7999999999999994,21800.0,500.0,1.17,0.0,0,Normal
OIL-SHALMARI-1,2024-01-01 00:03:00,2900,2880,20.5,15.7,81,22800.0,1.17,1.23,521.49,8.222,21.7,1.032795558988645,22050.0,645.4972243679028,1.17,0.0,0,Normal
OIL-SHALMARI-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221,21.3,1.264911064067353,22300.0,790.5694150420949,1.17,0.0,0,Normal
OIL-TENGAKHAT-1,2024-01-01 00:00:00,2870,2850,22.9,15.4,84,21300.0,1.17,1.2,452.31,8.239,22.9,0.0,21300.0,0.0,1.17,0.0,0,Normal
OIL-TENGAKHAT-1,2024-01-01 00:01:00,2880,2860,22.1,15.5,83,21800.0,1.17,1.21,473.96,8.231,22.5,0.565685424949236,21550.0,353.5533905932738,1.17,0.0,0,Normal
OIL-TENGAKHAT-1,2024-01-01 00:02:00,2890,2870,21.3,15.6,82,22300.0,1.17,1.22,496.97,8.225,22.099999999999998,0.7999999999999994,21800.0,500.0,1.17,0.0,0,Normal
OIL-TENGAKHAT-1,2024-01-01 00:03:00,2900,2880,20.5,15.7,81,22800.0,1.17,1.23,521.49,8.222,21.7,1.032795558988645,22050.0,645.4972243679028,1.17,0.0,0,Normal
OIL-TENGAKHAT-1,2024-01-01 00:04:00,2910,2890,19.7,15.8,80,23300.0,1.17,1.24,547.71,8.221,21.3,1.264911064067353,22300.0,790.5694150420949,1.17,0.0,0,Normal
